id,antiguedad,habitaciones,garages,banos,metroscubiertos,metrostotales,gimnasio,usosmultiples,piscina,escuelascercanas,centroscomercialescercanos,anio,ciudad,provincia,tipodepropiedad,titulo_features_enc,descripcion_features_enc
4941,29,3,1,4,300,176,0,0,0,0,0,2013,284,9,2,79,35
51775,8,1,1,1,67,67,0,0,0,0,0,2015,299,31,0,79,99
115253,0,2,1,2,87,100,0,0,0,0,1,2015,137,9,0,51,62
299321,2,2,2,2,86,86,0,0,0,0,0,2015,5,13,0,79,99
173570,10,2,1,1,80,76,0,0,0,1,1,2013,517,11,2,16,73
30862,10,3,1,2,165,138,0,0,0,0,0,2016,564,15,2,55,57
244471,20,3,1,2,220,190,1,0,0,1,0,2016,293,19,2,79,5
127794,0,2,1,1,62,62,0,0,0,1,1,2016,259,11,2,48,87
71558,2,3,2,2,260,200,0,0,1,1,1,2016,533,30,2,59,86
218011,20,3,1,2,123,160,0,0,0,1,0,2015,75,23,2,48,20
148208,0,3,2,3,160,160,0,0,1,0,1,2016,5,13,0,48,99
155735,5,2,1,1,64,71,0,0,0,0,1,2016,500,15,2,48,20
100698,10,3,2,4,288,216,0,0,0,1,1,2016,293,19,2,79,73
241403,0,3,2,2,164,128,0,0,0,1,0,2013,352,22,3,26,65
195272,50,2,1,2,195,136,0,0,0,0,0,2015,193,9,2,48,6
238663,30,3,1,2,96,176,0,0,0,0,1,2014,137,9,0,7,99
262957,5,3,2,3,421,352,0,0,0,1,1,2015,187,15,2,79,73
207082,8,2,0,2,173,420,0,0,0,0,0,2015,344,21,19,79,69
298896,5,2,0,1,48,48,0,0,0,0,0,2015,570,13,2,79,90
220946,5,2,2,1,71,90,0,0,0,1,1,2016,58,18,2,26,73
74581,8,2,1,2,163,106,0,0,0,0,0,2016,500,15,2,48,20
253578,3,2,3,3,155,176,0,0,0,1,1,2016,61,9,0,31,42
47620,5,3,1,4,230,160,0,0,0,0,1,2016,75,23,2,79,18
92772,0,3,2,3,230,307,0,0,0,0,0,2012,100,5,2,79,72
116904,16,2,0,2,229,229,0,0,0,0,0,2013,495,11,1,5,69
208352,10,6,1,2,173,256,0,0,0,0,0,2016,496,9,2,48,99
76044,10,4,3,2,188,145,0,0,0,1,0,2014,236,32,2,48,2
202667,10,2,1,1,76,76,0,0,0,1,1,2015,145,11,0,48,13
62134,33,3,2,3,340,298,0,0,0,0,0,2016,564,15,2,23,20
277353,1,3,1,2,350,176,0,0,0,1,1,2016,458,17,11,51,28
64194,0,3,2,2,166,176,0,0,0,1,1,2014,61,9,3,48,36
295822,5,3,3,2,250,260,1,0,0,1,1,2015,303,11,2,61,53
27391,10,3,2,3,90,90,0,0,0,0,0,2016,61,9,0,68,51
203500,20,2,0,1,75,176,0,0,0,1,1,2016,142,9,0,53,99
264505,10,3,1,2,122,122,0,0,0,1,1,2016,147,21,2,48,60
297455,4,2,1,2,65,176,0,0,0,1,1,2013,21,9,0,62,99
137985,2,2,1,1,200,176,0,0,0,1,0,2013,209,22,2,66,18
47622,0,3,0,4,173,300,0,0,0,0,0,2015,352,22,2,67,53
21911,20,3,1,2,100,100,0,0,1,1,1,2016,533,30,0,26,98
94181,8,4,1,3,240,121,0,0,0,0,0,2016,228,9,2,79,18
68117,13,2,2,2,107,176,0,0,0,1,1,2012,495,11,0,79,74
39648,12,3,1,2,108,54,0,0,0,1,1,2012,344,21,2,79,18
73722,5,3,3,3,228,176,0,0,1,1,1,2016,148,17,2,6,79
133456,0,2,1,1,94,176,0,0,1,0,1,2013,5,13,0,51,72
30763,0,4,1,4,268,176,0,0,0,0,0,2014,142,9,0,48,55
58096,8,3,1,2,62,62,0,0,0,0,0,2015,150,25,2,48,106
126979,1,2,1,2,130,300,0,0,0,0,0,2012,400,12,2,48,69
149636,5,3,2,2,100,120,0,0,0,0,0,2016,496,9,2,68,58
27810,8,3,2,3,187,127,0,0,0,0,0,2016,372,21,2,29,20
272001,1,3,0,3,220,196,1,0,0,1,0,2016,284,9,2,34,84
114617,4,3,3,4,326,300,0,0,1,1,1,2016,75,23,2,73,18
190693,8,4,2,2,322,336,0,0,0,0,0,2016,564,15,3,36,23
219814,0,3,2,3,180,160,0,1,1,1,1,2014,352,22,2,67,106
67164,0,3,3,3,285,300,0,0,0,0,0,2016,117,7,2,79,73
83961,1,2,0,2,420,176,0,0,0,0,0,2013,83,27,15,52,98
254122,4,2,1,2,112,112,0,0,0,1,1,2015,211,11,0,79,87
141378,5,3,2,2,241,241,0,0,0,1,1,2016,141,9,0,54,87
151754,8,2,2,3,125,145,0,0,0,0,0,2015,248,5,2,79,79
125013,2,3,2,2,96,153,0,0,0,0,0,2012,35,19,2,79,72
273552,8,3,1,3,114,120,0,0,0,0,0,2015,178,30,3,79,79
201853,8,2,1,1,67,67,0,0,0,0,0,2014,284,9,0,48,95
99511,3,2,2,2,69,69,1,1,1,1,1,2015,61,9,0,34,99
25140,5,3,3,3,240,176,0,0,0,1,1,2016,211,11,0,48,49
7603,5,2,1,1,85,85,0,0,0,1,1,2016,314,20,0,47,35
84095,10,2,0,2,352,176,0,0,0,0,0,2016,148,17,11,36,34
84071,5,3,3,3,265,325,0,0,0,1,1,2016,352,22,2,79,53
151177,7,3,1,1,171,176,0,0,0,1,1,2013,56,9,5,14,73
294081,1,1,1,1,67,67,0,0,0,0,0,2016,299,31,0,42,90
88694,20,4,2,2,233,135,0,0,0,0,0,2016,162,11,2,36,91
99932,0,3,2,2,105,90,0,0,0,0,1,2014,187,15,2,36,76
14442,10,2,1,1,85,75,0,0,0,0,0,2016,45,11,2,32,45
162220,30,3,1,2,110,110,0,0,0,1,1,2013,137,9,0,76,74
163631,8,3,1,4,341,400,0,0,1,0,0,2016,161,31,2,59,20
49023,10,3,2,1,160,240,0,0,0,1,1,2015,100,5,2,79,84
80644,8,3,2,3,203,209,0,0,0,0,0,2016,211,11,0,58,99
274016,5,3,2,2,160,140,0,1,1,1,1,2013,352,22,3,69,87
64876,4,3,2,1,150,176,0,0,0,1,1,2014,75,23,2,48,87
156696,2,4,3,2,173,372,1,0,1,0,0,2015,293,19,2,48,79
295991,8,3,2,2,120,176,0,0,0,0,0,2016,372,21,0,48,100
192037,5,2,2,2,120,120,0,0,0,1,1,2015,61,9,0,48,74
118765,8,3,1,2,150,100,0,0,0,0,0,2014,75,23,2,48,82
94748,0,3,2,2,298,283,0,0,0,0,0,2016,100,5,2,79,18
251764,5,3,2,2,290,202,0,0,0,1,1,2016,137,9,2,48,57
60381,10,2,1,2,70,90,1,0,0,1,0,2016,188,19,2,73,20
283938,2,2,3,1,68,98,0,0,0,1,1,2013,308,11,3,48,65
195995,2,2,1,1,60,101,0,0,0,1,1,2015,205,11,2,6,76
112778,5,2,1,3,78,78,0,0,0,1,1,2015,284,9,0,68,49
76727,8,2,0,2,150,180,0,0,0,1,0,2014,532,9,19,48,99
21435,8,4,2,2,200,160,0,0,0,0,0,2014,394,24,2,21,95
17468,0,2,0,2,120,176,0,0,0,1,1,2015,61,9,0,48,64
225673,0,4,2,3,315,313,0,0,0,1,1,2016,293,19,2,48,87
79759,0,3,2,3,280,220,0,1,0,1,1,2015,100,5,2,73,79
257599,10,2,0,2,67,32,0,0,0,0,1,2016,352,22,11,40,99
270720,8,2,1,1,400,176,0,0,0,0,0,2016,392,22,11,48,69
153801,7,3,2,3,258,190,0,0,0,1,0,2012,21,9,3,79,69
92266,8,2,2,2,75,89,0,0,0,0,0,2016,142,9,0,48,10
207329,3,3,3,2,230,360,0,0,0,0,0,2016,303,11,2,79,87
243955,5,3,1,3,330,370,1,0,1,1,0,2016,458,17,2,26,45
288928,0,3,2,3,380,250,1,0,0,1,0,2016,63,30,2,42,87
186600,55,4,1,2,150,215,0,0,0,1,1,2012,61,9,2,79,35
48005,8,3,2,1,100,147,0,0,0,0,0,2015,487,1,2,36,13
212520,15,3,0,1,118,118,0,0,0,0,1,2013,284,9,0,32,7
294075,11,4,1,1,170,200,0,0,0,0,0,2016,100,5,2,49,72
131575,20,3,1,2,200,370,0,0,0,1,1,2016,517,11,2,48,69
202057,5,4,2,3,173,380,0,0,0,1,1,2016,45,11,2,29,32
239160,60,2,0,1,80,176,0,0,0,0,0,2012,284,9,0,48,7
92611,0,3,2,3,153,120,0,0,0,1,0,2014,394,24,2,79,99
268351,4,3,2,2,192,127,0,0,0,0,0,2015,564,15,3,79,105
259109,0,3,2,3,198,176,0,0,1,1,1,2012,299,31,2,79,53
